"Characteristic","unique(paramUse$ENTITY_ABBR)","CRITERION_VALUE","UNIT_NAME","CRITERIATYPEAQUAHUMHLTH","CRITERIATYPEFRESHSALTWATER","CRITERIATYPE_ACUTECHRONIC","USE_CLASS_NAME_LOCATION_ETC","ATTAINS_USE_NAME"
"cadmium","MN","5","µg/l","H",NA,NA,"CLASS 1B/1C - DC","CLASS 1B"
"cadmium","MN","1.1","µg/l",NA,NA,"C","CLASS 2A - CS","CLASS 2A"
"cadmium","MN","7.8","µg/l",NA,NA,"A","CLASS 2A - FAV","CLASS 2A"
"cadmium","MN","3.9","µg/l",NA,NA,NA,"CLASS 2A - MS","CLASS 2A"
"cadmium","MN","1.1","µg/l",NA,NA,"C","CLASS 2BD - CS","CLASS 2B"
"cadmium","MN","1.1","µg/l",NA,NA,"C","CLASS 2BD - CS","CLASS 2BD"
"cadmium","MN","67","µg/l",NA,NA,"A","CLASS 2B&D - FAV","CLASS 2B"
"cadmium","MN","33","µg/l",NA,NA,NA,"CLASS 2B&D - MS","CLASS 2B"
"cadmium","MN","1.1","µg/l",NA,NA,"C","CLASS 2BD - CS","CLASS 2B"
"cadmium","MN","1.1","µg/l",NA,NA,"C","CLASS 2BD - CS","CLASS 2BD"
"cadmium","MO","5","µg/l","H",NA,NA,"GROUND WATER",NA
"cadmium","MO","5","µg/l","H",NA,NA,"DRINKING WATER SUPPLY","DRINKING WATER SUPPLY"
"cadmium","MO","See equation","[no units]","A",NA,"A","AQUATIC LIFE PROTECTION","AQUATIC LIFE"
"cadmium","MO","See equation","[no units]","A",NA,"C","AQUATIC LIFE PROTECTION","AQUATIC LIFE"
"cadmium","MS","168","µg/l","H",NA,NA,"ALL WATERS",NA
"cadmium","MS","5","µg/l","H",NA,NA,"ALL WATERS",NA
"cadmium","MS","0.15","µg/l","A","F","C","ALL WATERS",NA
"cadmium","MS","1.03","µg/l","A","F","A","ALL WATERS",NA
"cadmium","MS","7.9","µg/l","A","S","C","ALL WATERS",NA
"cadmium","MS","33","µg/l","A","S","A","ALL WATERS",NA
"cadmium","MT","5","µg/l","H",NA,NA,"SURFACE WATERS",NA
"cadmium","MT","See equation","[no units]","A",NA,"A","SURFACE WATERS",NA
"cadmium","MT","See equation","[no units]","A",NA,"C","SURFACE WATERS",NA
"cadmium","NAM","See Table","[no units]","A","F","A","HIGH QUALITY COLDWATER FISHERY USE, MARGINAL COLDWATER FISHERY USE, AND WARMWATER FISHERY USE",NA
"cadmium","NAM","See Table","[no units]","A","F","C","HIGH QUALITY COLDWATER FISHERY USE, MARGINAL COLDWATER FISHERY USE, AND WARMWATER FISHERY USE",NA
"cadmium","NAM","0.05","mg/l",NA,NA,NA,"LIVESTOCK WATERING AND WILDLIFE HABITAT USE",NA
"cadmium","NAM","0.01","mg/l",NA,NA,NA,"IRRIGATION USE",NA
"cadmium","NAM","0.005","mg/l",NA,NA,NA,"RECHARGE OF DOMESTIC WATER SUPPLY",NA
"cadmium","NAM","0.005","mg/l",NA,NA,NA,"INDUSTRIAL AND MUNICIPAL WATER SUPPLY USE",NA
"cadmium","NAV","5","µg/l",NA,NA,NA,"DOMESTIC WATER SUPPLY",NA
"cadmium","NAV","8","µg/l",NA,NA,NA,"FISH CONSUMPTION",NA
"cadmium","NAV","470","µg/l",NA,NA,NA,"PRIMARY HUMAN CONTACT",NA
"cadmium","NAV","470","µg/l",NA,NA,NA,"SECONDARY HUMAN CONTACT",NA
"cadmium","NAV","See Equation","[no units]","A",NA,"A","AQUATIC AND WILDLIFE HABITAT",NA
"cadmium","NAV","See Equation","[no units]","A",NA,"C","AQUATIC AND WILDLIFE HABITAT",NA
"cadmium","NAV","50","µg/l",NA,NA,NA,"AGRICULTURAL WATER SUPPLY",NA
"cadmium","NAV","50","µg/l",NA,NA,NA,"LIVESTOCK WATERING",NA
"cadmium","NC","See equation","[no units]","A","F","C","CLASS C WATERS",NA
"cadmium","NC","See equation","[no units]","A","S","C","CLASS SC WATERS; TIDAL SALTWATER",NA
"cadmium","NC","See equation","[no units]","A","F","A","CLASS C WATERS; NON-TROUT WATERS","TROUT WATERS"
"cadmium","NC","See equation","[no units]","A","F","A","CLASS C WATERS; TROUT WATERS","TROUT WATERS"
"cadmium","NC","See equation","[no units]","A","S","A","CLASS SC WATERS; TIDAL SALTWATER",NA
"cadmium","NCHY","2.0","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","NCHY","0.27","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","NCHY","5","µg/l",NA,NA,NA,"SURFACE WATER MAXIMUM CONTAMINANT LEVEL (MCL) STANDARDS ADOPTED TO PROTECT THE PUBLIC WATER SUPPLY DESIGNATED USE",NA
"cadmium","NCHY","50","µg/l",NA,NA,NA,"AGRICULTURAL USES- LIVESTOCK",NA
"cadmium","ND","5","µg/l","H",NA,NA,"CLASSES I, IA, II",NA
"cadmium","ND","2.39","µg/l","A",NA,"C","CLASSES I, IA, II, III",NA
"cadmium","ND","7.38","µg/l","A",NA,"A","CLASSES I, IA, II, III",NA
"cadmium","NE","0.0050","mg/l","H",NA,NA,"PUBLIC DRINKING WATER",NA
"cadmium","NH","0.21","µg/l","A","F","C","PROTECTION OF AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NH","0.039","µg/l","A","F","A","PROTECTION OF AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NH","7.9","µg/l","A","S","C","PROTECTION OF AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NH","33","µg/l","A","S","A","PROTECTION OF AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NH","5","µg/l","H",NA,NA,"DELAWARE RIVER BASIN ZONE 1A",NA
"cadmium","NJ","8.8","µg/l","A","S","C","DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","40","µg/l","A","S","A","DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","See equation","µg/l","A","F","A","DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","See equation","µg/l","A","F","C","DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","5","µg/l","H",NA,NA,"DELAWARE RIVER ESTUARY, ZONE 2 AND 3",NA
"cadmium","NJ","3.4","µg/l","H","F",NA,"DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","16","µg/l","H","S",NA,"DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","16","µg/l","H","F",NA,"DELAWARE RIVER ESTUARY",NA
"cadmium","NJ","3.4","µg/l","H","F",NA,"TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NJ","8.8","µg/l","A","S","C","TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NJ","16","µg/l","H","S",NA,"TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NJ","40","µg/l","A","S","A","TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NJ","See equation","[no units]","A","F","A","TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NJ","See equation","[no units]","A","F","C","TOXIC SUBSTANCE CRITERIA",NA
"cadmium","NM","5","µg/l","H",NA,NA,"DRINKING WATER SUPPLY","DRINKING WATER"
"cadmium","NM","10","µg/l",NA,NA,NA,"IRRIGATION/IRRIGATION STORAGE","IRRIGATION"
"cadmium","NM","10","µg/l",NA,NA,NA,"IRRIGATION/IRRIGATION STORAGE","IRRIGATION STORAGE"
"cadmium","NM","50","µg/l",NA,NA,NA,"LIVESTOCK WATERING","LIVESTOCK WATERING"
"cadmium","NM","see equation","µg/l","A","F","A","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NM","see equation","µg/l","A","F","C","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NTR","See note","µg/l","H",NA,NA,"TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NTR","3.7","µg/l","A","F","A","TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NTR","42","µg/l","A","S","A","TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NTR","See note","µg/l","H",NA,NA,"TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NTR","1.0","µg/l","A","F","C","TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NTR","9.3","µg/l","A","S","C","TOXICS CRITERIA FOR THOSE STATES NOT COMPLYING WITH CLEAN WATER ACT SECTION 303(C)(2)(B)",NA
"cadmium","NV","See equation","µg/l","A",NA,NA,"AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NV","See equation","µg/l","A",NA,NA,"AQUATIC LIFE","AQUATIC LIFE"
"cadmium","NV","10","µg/l",NA,NA,NA,"IRRIGATION","IRRIGATION"
"cadmium","NV","5","µg/l","H",NA,NA,"MUNICIPAL OR DOMESTIC SUPPLY","MUNICIPAL OR DOMESTIC SUPPLY"
"cadmium","NV","50","µg/l",NA,NA,NA,"WATERING OF LIVESTOCK","WATERING OF LIVESTOCK"
"cadmium","NV","50","µg/l",NA,NA,NA,"WATERING OF LIVESTOCK","LIVESTOCK WATERING"
"cadmium","NY","5","µg/l","H","F",NA,"CLASSES A, A-S, AA, AA-S",NA
"cadmium","NY","See notes","no unit name","A","F","C","CLASSES A, A-S, AA, AA-S, B, C",NA
"cadmium","NY","See notes","no unit name","A","F","A","CLASSES A, A-S, AA, AA-S, B, C, D",NA
"cadmium","NY","7.7","µg/l","A","S","C","CLASSES SA, SB, SC, I",NA
"cadmium","NY","21","µg/l","A","S","A","CLASS SD",NA
"cadmium","OH","5.0","µg/l","H",NA,NA,"OHIO RIVER BASIN - OUTSIDE MIXING ZONE AVERAGE (DRINKING)",NA
"cadmium","OH","See Equation","µg/l","A",NA,NA,"INSIDE MIXING ZONE MAXIMUM",NA
"cadmium","OH","See Equation","µg/l","A",NA,NA,"OUTSIDE MIXING ZONE MAXIMUM",NA
"cadmium","OH","50","µg/l",NA,NA,NA,"OUTSIDE MIXING ZONE AVERAGE; AGRICULTURAL USES",NA
"cadmium","OH","See Equation","µg/l","A",NA,NA,"OUTSIDE MIXING ZONE AVERAGE",NA
"cadmium","OH","5.0","µg/l","H",NA,NA,"OHIO RIVER - OUTSIDE MIXING ZONE AVERAGE (INTAKES)",NA
"cadmium","OHKA","See Equation","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","OHKA","See Equation","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","OK","20","µg/l","H",NA,NA,"PUBLIC AND PRIVATE WATER SUPPLY (RAW WATER)","PUBLIC AND PRIVATE WATER SUPPLY"
"cadmium","OK","see equation","µg/l","A","F","A","FISH AND WILDLIFE PROPAGATION","FISH AND WILDLIFE PROPAGATION"
"cadmium","OK","see equation","µg/l","A","F","C","FISH AND WILDLIFE PROPAGATION","FISH AND WILDLIFE PROPAGATION"
"cadmium","OK","84.13","µg/l","H",NA,NA,"FISH CONSUMPTION (+ OTHER ORGANISMS) AND WATER; FOR TROUT STREAMS","FISH CONSUMPTION"
"cadmium","OK","84.13","µg/l","H",NA,NA,"FISH CONSUMPTION (+ OTHER ORGANISMS)","FISH CONSUMPTION"
"cadmium","OK","14.49","µg/l","H",NA,NA,"FISH CONSUMPTION (+ OTHER ORGANISMS) AND WATER","FISH CONSUMPTION"
"cadmium","OK","14.49","µg/l","H",NA,NA,"FISH CONSUMPTION (+ OTHER ORGANISMS) AND WATER; FOR TROUT STREAMS","FISH CONSUMPTION"
"cadmium","OK","see equation","µg/l","A","F","A","FOR TROUT STREAMS",NA
"cadmium","OK","see equation","µg/l","A","F","C","FOR TROUT STREAMS",NA
"cadmium","OK","20","µg/l","H",NA,NA,"PUBLIC AND PRIVATE WATER SUPPLY (RAW WATER)","PUBLIC AND PRIVATE WATER SUPPLY"
"cadmium","OR","8.8","µg/l","A","S","C","AQUATIC LIFE",NA
"cadmium","OR","See equation","[no units]","A","F","C","AQUATIC LIFE",NA
"cadmium","OR","40","µg/l","A","S","A","AQUATIC LIFE",NA
"cadmium","OR","3.9","µg/l","A","F","A","AQUATIC LIFE",NA
"cadmium","PA","8.8","µg/l","A","S","C","DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","40","µg/l","A","S","A","DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","See equation","[no units]","A","F","A","DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","See equation","[no units]","A","F","C","DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","3.4","µg/l","H","F",NA,"DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","16","µg/l","H","S",NA,"DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","16","µg/l","H","F",NA,"DELAWARE RIVER ESTUARY AND BAY. APPLIED IN PENNSYLVANIA ON A SITE SPECIFIC BASIS AS OUTLINED IN THE DRBC WQS.",NA
"cadmium","PA","See equation","µg/l","A",NA,"C","FISH AND AQUATIC LIFE","AQUATIC LIFE"
"cadmium","PA","See equation","µg/l","A",NA,"C","FISH AND AQUATIC LIFE; GREAT LAKES","AQUATIC LIFE"
"cadmium","PA","See equation","µg/l","A",NA,"A","FISH AND AQUATIC LIFE","AQUATIC LIFE"
"cadmium","PA","See equation","µg/l","A",NA,"A","FISH AND AQUATIC LIFE; GREAT LAKES","AQUATIC LIFE"
"cadmium","PGSK","2.0","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","PGSK","0.25","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","PGSK","40","µg/l","A","S","A","SURFACE WATERS",NA
"cadmium","PGSK","8.8","µg/l","A","S","C","SURFACE WATERS",NA
"cadmium","PIC","See Equation","[no units]","A",NA,"A","FISHERIES",NA
"cadmium","PIC","See Equation","[no units]","A",NA,"C","FISHERIES",NA
"cadmium","PIC","0.05","mg/l",NA,NA,NA,"LIVESTOCK WATERING AND WILDLIFE HABITAT USE",NA
"cadmium","PIC","0.01","mg/l",NA,NA,NA,"IRRIGATION USE",NA
"cadmium","PIC","0.005","mg/l",NA,NA,NA,"RECHARGE OF DOMESTIC WATER SUPPLY",NA
"cadmium","POJ","0.01","mg/l",NA,NA,NA,"SEGMENTS DESIGNATED FOR IRRIGATION",NA
"cadmium","POJ","0.05","mg/l",NA,NA,NA,"SEGMENTS DESIGNATED FOR LIVESTOCK AND WILDLIFE HABITAT",NA
"cadmium","POJ","0.005","mg/l",NA,NA,NA,"SEGMENTS DESIGNATED FOR GROUNDWATER RECHARGE",NA
"cadmium","POJ","See Equation","[no units]","A",NA,"C","SEGMENTS DESIGNATED FOR MARGINAL COLDWATER FISHERIES",NA
"cadmium","POJ","See Equation","[no units]","A",NA,"A","SEGMENTS DESIGNATED FOR MARGINAL COLDWATER FISHERIES",NA
"cadmium","PR","7.95","µg/l","A",NA,NA,"CLASS SB WATERS",NA
"cadmium","PR","See Equation","µg/l","A",NA,NA,"CLASS SD WATERS",NA
"cadmium","PR","5.0","µg/l",NA,NA,NA,"CLASS SG WATERS- DRINKING WATER",NA
"cadmium","PUYA","See Equation","[no units]",NA,"F","C","SURFACE WATERS",NA
"cadmium","PUYA","See Equation","[no units]",NA,"F","A","SURFACE WATERS",NA
"cadmium","PUYA","8.0","µg/l","A","S","C","SURFACE WATERS",NA
"cadmium","PUYA","37.2","µg/l","A","S","A","SURFACE WATERS",NA
"cadmium","PYRA","See Equation","µg/l","A","F","A","PYRAMID LAKE RESERVATION SURFACE WATERS",NA
"cadmium","PYRA","See Equation","µg/l","A","F","C","PYRAMID LAKE RESERVATION SURFACE WATERS",NA
"cadmium","RBLMI",NA,NA,NA,NA,NA,NA,NA
"cadmium","RI","8.8","µg/l","A","S","C","AQUATIC LIFE",NA
"cadmium","RI","40","µg/l","A","S","A","AQUATIC LIFE",NA
"cadmium","RI","See equation","µg/l","A","F","A","AQUATIC LIFE",NA
"cadmium","RI","See equation","µg/l","A","F","C","AQUATIC LIFE",NA
"cadmium","SAND","See Equation","[no units]","A","F","C","SURFACE WATER",NA
"cadmium","SAND","See Equation","[no units]","A","F","A","SURFACE WATER",NA
"cadmium","SAND","5","µg/l","H",NA,NA,"WATER CONSUMPTION",NA
"cadmium","SC","5","µg/l","H",NA,NA,"HUMAN HEALTH",NA
"cadmium","SC","0.25","µg/l","A","F","C","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","SC","0.49","µg/l","A","F","A","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","SC","7.9","µg/l","A","S","C","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","SC","33","µg/l","A","S","A","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","SD","10","µg/l",NA,NA,NA,"WHITEWOOD CREEK FROM INTERSTATE 90 TO ITS CONFLUENCE WITH GOLD RUN CREEK",NA
"cadmium","SD","See equation","µg/l","A","F","C","USES 2, 3, 4, 5, 6, 9",NA
"cadmium","SD","See equation","µg/l","A","F","A","USES 2, 3, 4, 5, 6, 9",NA
"cadmium","SEMI","See Equation","[no units]",NA,NA,NA,"CLASS I: POTABLE WATER SUPPLY",NA
"cadmium","SEMI","See Equation","[no units]",NA,NA,NA,"CLASS II: RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE, SUBCLASSES 2-B AND 2-C AND CLASS III: AGRICULTURAL PURPOSES",NA
"cadmium","SKT","5","µg/l","H","F",NA,"WATER SUPPLY DESIGNATED USE",NA
"cadmium","SKT","1.90","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","SKT","0.79","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","SPOK","3.7E+00","µg/l","A",NA,"A","SURFACE WATERS",NA
"cadmium","SPOK","1.0E+00","µg/l","A",NA,"C","SURFACE WATERS",NA
"cadmium","SPOK","5","µg/l","H",NA,NA,"PRIMARY CONTACT CEREMONIAL AND SPIRITUAL USES",NA
"cadmium","SRM","5","µg/l","H",NA,NA,"GA WATER CLASS",NA
"cadmium","SRM","5","µg/l","H",NA,NA,"A, A-S, AA, AA-S WATER CLASSES",NA
"cadmium","SRM","See Equation","[no units]","A",NA,"C","A, A-S, AA, AA-S, B, C, D WATER CLASSES",NA
"cadmium","SRM","See Equation","[no units]","A",NA,"A","A, A-S, AA, AA-S, B, C, D WATER CLASSES",NA
"cadmium","SRM","10","µg/l",NA,NA,NA,"CLASS GA: GROUNDWATER EFFLUENT LIMITATIONS",NA
"cadmium","STANA","See Equation","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","STANA","See Equation","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","STANA","5","µg/l","H",NA,NA,"WATER CONSUMPTION",NA
"cadmium","STCLA","See Equation","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","STCLA","See Equation","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","STCLA","0.05","mg/l",NA,NA,NA,"LIVESTOCK AND WILDLIFE USES",NA
"cadmium","STCLA","0.01","mg/l",NA,NA,NA,"IRRIGATION WATER USE",NA
"cadmium","STCLA","0.005","mg/l",NA,NA,NA,"GROUND-WATER RECHARGE, DOMESTIC, MUNICIPAL, AND INDUSTRIAL WATER SUPPLY USES",NA
"cadmium","SUTE","See Equation","µg/l","A",NA,"A","AQUATIC LIFE",NA
"cadmium","SUTE","See Equation","µg/l","A",NA,"C","AQUATIC LIFE",NA
"cadmium","SWINO",NA,NA,NA,NA,NA,NA,NA
"cadmium","TAOS","5","µg/l",NA,NA,NA,"DRINKING WATER",NA
"cadmium","TAOS","5","µg/l",NA,NA,NA,"DOMESTIC WATER SUPPLY",NA
"cadmium","TAOS","10","µg/l",NA,NA,NA,"AGRICULTURE AND WILDLIFE WATERING: IRRIGATION CRITERION",NA
"cadmium","TAOS","50","µg/l",NA,NA,NA,"AGRICULTURE AND WILDLIFE WATERING: WILDLIFE AND LIVESTOCK WATERING CRITERION",NA
"cadmium","TAOS","See Equation","[no units]","A",NA,"A","AQUATIC LIFE",NA
"cadmium","TAOS","See Equation","[no units]","A",NA,"C","AQUATIC LIFE",NA
"cadmium","TESU","See Equation","[no units]","A",NA,"A","HIGH QUALITY COLDWATER FISHERY USE",NA
"cadmium","TESU","See Equation","[no units]","A",NA,"A","WARM WATER FISHERY USE",NA
"cadmium","TESU","See Equation","[no units]","A",NA,"C","HIGH QUALITY COLDWATER FISHERY USE",NA
"cadmium","TESU","See Equation","[no units]","A",NA,"C","WARM WATER FISHERY USE",NA
"cadmium","TESU","0.05","mg/l",NA,NA,NA,"LIVESTOCK WATERING AND WILDLIFE HABITAT USE",NA
"cadmium","TESU","0.01","mg/l",NA,NA,NA,"IRRIGATION USE",NA
"cadmium","TESU","0.005","mg/l",NA,NA,NA,"GROUNDWATER RECHARGE",NA
"cadmium","TN","5","µg/l","H",NA,NA,"DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"cadmium","TN","0.72","µg/l","A",NA,"C","FISH AND AQUATIC LIFE","FISH AND AQUATIC LIFE"
"cadmium","TN","1.8","µg/l","A",NA,"A","FISH AND AQUATIC LIFE","FISH AND AQUATIC LIFE"
"cadmium","TWNIN","2.0","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","TWNIN","0.25","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","TWNIN","40","µg/l","A","S","A","SURFACE WATERS",NA
"cadmium","TWNIN","8.8","µg/l","A","S","C","SURFACE WATERS",NA
"cadmium","TX","40.0","µg/l","A","S","A","AQUATIC LIFE PROTECTION",NA
"cadmium","TX","see equation","mg/l","A","F","A","AQUATIC LIFE PROTECTION",NA
"cadmium","TX","see equation","mg/l","A","F","C","AQUATIC LIFE PROTECTION",NA
"cadmium","TX","5","µg/l","H",NA,NA,"HUMAN HEALTH PROTECTION",NA
"cadmium","TX","8.75","µg/l","A","S","C","AQUATIC LIFE PROTECTION",NA
"cadmium","UMA","4.3","µg/l","A","F","A","SURFACE WATERS",NA
"cadmium","UMA","2.2","µg/l","A","F","C","SURFACE WATERS",NA
"cadmium","UMU","See Equation","[no units]","A",NA,"A","WARM WATER AQUATIC LIFE",NA
"cadmium","UMU","See Equation","[no units]","A",NA,"C","WARM WATER AQUATIC LIFE",NA
"cadmium","UMU","See Equation","[no units]","A",NA,"A","COLD WATER AQUATIC LIFE",NA
"cadmium","UMU","See Equation","[no units]","A",NA,"C","COLD WATER AQUATIC LIFE",NA
"cadmium","UMU","10","µg/l",NA,NA,NA,"AGRICULTURE, IRRIGATION AND/OR LIVESTOCK WATERING",NA
"cadmium","UMU","5","µg/l","H",NA,NA,"DRINKING WATER SOURCE, TRIBAL CULTURAL USE",NA
"cadmium","UMU","84","µg/l","H",NA,NA,"FISH CONSUMPTION",NA
"cadmium","UT","0.01","mg/l",NA,"F",NA,"AGRICULTURE, CLASS 4","AGRICULTURE"
"cadmium","UT","0.72","µg/l","A","F","C","AQUATIC WILDLIFE; CLASS 3A",NA
"cadmium","UT","1.8","µg/l","A","F","A","AQUATIC WILDLIFE; CLASS 3A",NA
"cadmium","UT","0.72","µg/l","A","F","C","AQUATIC WILDLIFE; CLASS 3B",NA
"cadmium","UT","1.8","µg/l","A","F","A","AQUATIC WILDLIFE; CLASS 3B",NA
"cadmium","UT","0.72","µg/l","A","F","C","AQUATIC WILDLIFE; CLASS 3C",NA
"cadmium","UT","1.8","µg/l","A","F","A","AQUATIC WILDLIFE; CLASS 3C",NA
"cadmium","UT","0.72","µg/l","A","F","C","AQUATIC WILDLIFE; CLASS 3D",NA
"cadmium","UT","1.8","µg/l","A","F","A","AQUATIC WILDLIFE; CLASS 3D",NA
"cadmium","UT","0.01","mg/l","H","F",NA,"DOMESTIC SOURCE, CLASS 1C","DOMESTIC SOURCE"
"cadmium","UT","See Equation","µg/l","A",NA,"C","AQUATIC WILDLIFE; CLASSES 3A, 3B, 3C, 3D",NA
"cadmium","UT","See Equation","µg/l","A",NA,"A","AQUATIC WILDLIFE; CLASSES 3A, 3B, 3C, 3D",NA
"cadmium","VA","5","µg/l","H",NA,NA,"PUBLIC WATER SUPPLY","PUBLIC WATER SUPPLY"
"cadmium","VA","See equation","µg/l","A","F","A","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","VA","See equation","µg/l","A","F","C","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","VA","See equation","µg/l","A","S","A","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","VA","See equation","µg/l","A","S","C","AQUATIC LIFE","AQUATIC LIFE"
"cadmium","VI","1.8","µg/l","A","F","A","CLASS OF INLAND FRESH WATERS (IF) AND INLAND GROUNDWATERS (IG)",NA
"cadmium","VI","0.72","µg/l","A","F","C","CLASS OF INLAND FRESH WATERS (IF) AND INLAND GROUNDWATERS (IG)",NA
"cadmium","VI","33","µg/l","A","S","A","CLASS OF INLAND BRACKISH OR SALINE (IBS), CLASS A, CLASS B, AND CLASS B WATERS",NA
"cadmium","VI","7.9","µg/l","A","S","C","CLASS OF INLAND BRACKISH OR SALINE (IBS), CLASS A, CLASS B, AND CLASS B WATERS",NA
"cadmium","VT","0.43","µg/l","A",NA,"C","PROTECTION OF AQUATIC BIOTA","AQUATIC BIOTA"
"cadmium","VT","0.94","µg/l","A",NA,"A","PROTECTION OF AQUATIC BIOTA","AQUATIC BIOTA"
"cadmium","WA","42.0","µg/l","A","S","A","AQUATIC LIFE",NA
"cadmium","WA","9.3","µg/l","A","S","C","AQUATIC LIFE",NA
"cadmium","WA","see notes","[no units]","A","F","A","AQUATIC LIFE",NA
"cadmium","WA","see notes","[no units]","A","F","C","AQUATIC LIFE",NA
"cadmium","WI","See equation","µg/l",NA,NA,"C","ALL SURFACE WATERS",NA
"cadmium","WI","See equation","µg/l","A",NA,"A","COLD WATER",NA
"cadmium","WI","See equation","µg/l","A",NA,"A","LIMITED AQUATIC LIFE","LIMITED AQUATIC LIFE"
"cadmium","WI","370","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","PUBLIC WATER SUPPLY"
"cadmium","WI","370","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","WATER SUPPLY"
"cadmium","WI","370","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","COLD WATER COMMUNITIES"
"cadmium","WI","370","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","COLD I"
"cadmium","WI","880","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - LIMITED AQUATIC LIFE","PUBLIC WATER SUPPLY"
"cadmium","WI","880","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - LIMITED AQUATIC LIFE","WATER SUPPLY"
"cadmium","WI","880","µg/l","H",NA,NA,"NON-PUBLIC WATER SUPPLY - LIMITED AQUATIC LIFE","LIMITED AQUATIC LIFE"
