"ENTITY_ABBR.x","CST_USE_NAME","ENTITY_ABBR.y","ATTAINS_USE_NAME","USE_NAME_UNLISTED"
"NCHY","AQUATIC LIFE- CLASS 1 NO FISH","NC","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"NCHY","AQUATIC LIFE- CLASS 2 NO FISH","NC","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"PA","COLD WATER FISHES; WARM WATER FISHES; TROUT STOCKING; MIGRATORY FISHES","PA","WARM WATER FISHES","^(?=.*WARM)(?=.*WATER)(?=.*FISHES).*$"
"PA","COLD WATER FISHES; WARM WATER FISHES; TROUT STOCKING","PA","WARM WATER FISHES","^(?=.*WARM)(?=.*WATER)(?=.*FISHES).*$"
NA,NA,"WY","WARM WATER FISHERY","^(?=.*WARM)(?=.*WATER)(?=.*FISHERY).*$"
NA,NA,"MT","WARM WATER FISHES","^(?=.*WARM)(?=.*WATER)(?=.*FISHES).*$"
NA,NA,"AZ","SECONDARY HUMAN CONTACT","^(?=.*SECONDARY)(?=.*HUMAN)(?=.*CONTACT).*$"
NA,NA,"HI","SHELLFISH","^(?=.*SHELLFISH).*$"
NA,NA,"NY","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"MT","NON-FISHERY WARM WATER AQUATIC LIFE","^(?=.*NON-FISHERY)(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"CA","CULTURAL/TRADITIONAL","^(?=.*CULTURAL/TRADITIONAL).*$"
"SUTE","SECONDARY CONTACT RECREATION","UT","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
"ACO","FISH CONSUMPTION","CO","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"NH","AQUATIC LIFE INTEGRITY","^(?=.*AQUATIC)(?=.*LIFE)(?=.*INTEGRITY).*$"
NA,NA,"MA","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"NE","AL COLD WATER B","^(?=.*AL)(?=.*COLD)(?=.*WATER)(?=.*B).*$"
NA,NA,"NV","SPAWNING, DEVELOPMENT & RECRUITMENT","^(?=.*SPAWNING,)(?=.*DEVELOPMENT)(?=.*&)(?=.*RECRUITMENT).*$"
"MO","AQUATIC LIFE PROTECTION","MO","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"ID","AQUATIC LIFE USE -- COLD","^(?=.*AQUATIC)(?=.*LIFE)(?=.*USE)(?=.*--)(?=.*COLD).*$"
NA,NA,"DE","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"VA","SHALLOW-WATER SUBMERGED AQUATIC VEGETATION","^(?=.*SHALLOW-WATER)(?=.*SUBMERGED)(?=.*AQUATIC)(?=.*VEGETATION).*$"
NA,NA,"OK","INDUSTRIAL AND MUNICIPAL PROCESS AND COOLING WATER","^(?=.*INDUSTRIAL)(?=.*AND)(?=.*MUNICIPAL)(?=.*PROCESS)(?=.*AND)(?=.*COOLING)(?=.*WATER).*$"
NA,NA,"NM","AQUATIC USE: MARGINAL WARMWATER","^(?=.*AQUATIC)(?=.*USE:)(?=.*MARGINAL)(?=.*WARMWATER).*$"
NA,NA,"NE","AGRICULTURAL WATER SUPPLY","^(?=.*AGRICULTURAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"NV","INDIGENOUS AQUATIC LIFE","^(?=.*INDIGENOUS)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"MN","CLASS 6","^(?=.*CLASS)(?=.*6).*$"
NA,NA,"DE","OVERALL USE SUPPORT","^(?=.*OVERALL)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"IA","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
"MT","C-1 (BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"MT","C-2 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"MT","B-1 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"MT","B-2 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"MT","B-3 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"MT","I (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND  PROPAGATION OF  FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
NA,NA,"WA","RECREATION - SECONDARY CONTACT","^(?=.*RECREATION)(?=.*-)(?=.*SECONDARY)(?=.*CONTACT).*$"
NA,NA,"WY","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"MP","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"WV","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OK","HYDROPOWER","^(?=.*HYDROPOWER).*$"
"MN","CLASS 3A - IC","MN","CLASS 3A","^(?=.*CLASS)(?=.*3A).*$"
NA,NA,"NV","RIPARIAN HABITAT","^(?=.*RIPARIAN)(?=.*HABITAT).*$"
NA,NA,"OH","BATHING WATERS","^(?=.*BATHING)(?=.*WATERS).*$"
NA,NA,"MT","CULTURAL USE","^(?=.*CULTURAL)(?=.*USE).*$"
"OK","PUBLIC AND PRIVATE WATER SUPPLY (RAW WATER)","OK","PUBLIC AND PRIVATE WATER SUPPLY","^(?=.*PUBLIC)(?=.*AND)(?=.*PRIVATE)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"WV","OVERALL USE SUPPORT","^(?=.*OVERALL)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"CT","AESTHETICS","^(?=.*AESTHETICS).*$"
"NCHY","RECREATION- FULL CONTACT","NC","RECREATION","^(?=.*RECREATION).*$"
"NCHY","RECREATION- INCIDENTAL CONTACT","NC","RECREATION","^(?=.*RECREATION).*$"
NA,NA,"AK","MARINE WATER; WATER SUPPLY; AQUACULTURE","^(?=.*MARINE)(?=.*WATER;)(?=.*WATER)(?=.*SUPPLY;)(?=.*AQUACULTURE).*$"
NA,NA,"NJ","RECREATION (AESTHETICS)","^(?=.*RECREATION)(?=.*(AESTHETICS)).*$"
"SD","COMMERCE AND INDUSTRY WATERS (USE 11)","SD","COMMERCE AND INDUSTRY","^(?=.*COMMERCE)(?=.*AND)(?=.*INDUSTRY).*$"
NA,NA,"NE","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"AZ","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"CA","FISH MIGRATION","^(?=.*FISH)(?=.*MIGRATION).*$"
NA,NA,"WI","WILDLIFE AND STOCK WATERING","^(?=.*WILDLIFE)(?=.*AND)(?=.*STOCK)(?=.*WATERING).*$"
"AL","OUTSTANDING ALABAMA WATER","AL","OUTSTANDING ALABAMA WATER","^(?=.*OUTSTANDING)(?=.*ALABAMA)(?=.*WATER).*$"
NA,NA,"DE","AGRICULTURAL WATER SUPPLY","^(?=.*AGRICULTURAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"AK","HABITAT (DEGRADATION CONCERNS)","^(?=.*HABITAT)(?=.*(DEGRADATION)(?=.*CONCERNS)).*$"
"SD","IRRIGATION WATERS","SD","IRRIGATION","^(?=.*IRRIGATION).*$"
"SD","IRRIGATION WATERS – BELLE FOURCHE RIVER FROM WYOMING-SOUTH DAKOTA BORDER TO ITS CONFLUENCE WITH THE CHEYENNE RIVER","SD","IRRIGATION","^(?=.*IRRIGATION).*$"
NA,NA,"AR","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"NM","AQUATIC LIFE","NM","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"PA","BOATING","^(?=.*BOATING).*$"
NA,NA,"IN","GREAT LAKES HUMAN HEALTH AND WILDLIFE","^(?=.*GREAT)(?=.*LAKES)(?=.*HUMAN)(?=.*HEALTH)(?=.*AND)(?=.*WILDLIFE).*$"
NA,NA,"OH","RECREATION - BATHING WATERS","^(?=.*RECREATION)(?=.*-)(?=.*BATHING)(?=.*WATERS).*$"
NA,NA,"MD","OVERALL USE","^(?=.*OVERALL)(?=.*USE).*$"
NA,NA,"OR","BOATING","^(?=.*BOATING).*$"
NA,NA,"OH","AQUATIC LIFE - MODIFIED WARMWATER HABITAT - CHANNEL MODIFICATION","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*MODIFIED)(?=.*WARMWATER)(?=.*HABITAT)(?=.*-)(?=.*CHANNEL)(?=.*MODIFICATION).*$"
"NM","DRINKING WATER SUPPLY","NM","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
NA,NA,"UT","AQUATIC WILDLIFE (SEVERELY HABITAT-LIMITED)","^(?=.*AQUATIC)(?=.*WILDLIFE)(?=.*(SEVERELY)(?=.*HABITAT-LIMITED)).*$"
NA,NA,"IN","PUBLIC OR INDUSTRIAL WATER SUPPLY","^(?=.*PUBLIC)(?=.*OR)(?=.*INDUSTRIAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"BB","WARMWATER PERMANENT FISH LIFE PROPAGATION WATERS","^(?=.*WARMWATER)(?=.*PERMANENT)(?=.*FISH)(?=.*LIFE)(?=.*PROPAGATION)(?=.*WATERS).*$"
"ID","SEASONAL COLD WATER AQUATIC LIFE USE","ID","SEASONAL COLD WATER AQUATIC LIFE","^(?=.*SEASONAL)(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"ME","PROPAGATION AND HARVESTING OF SHELLFISH","^(?=.*PROPAGATION)(?=.*AND)(?=.*HARVESTING)(?=.*OF)(?=.*SHELLFISH).*$"
NA,NA,"MA","WILDLIFE HABITAT","^(?=.*WILDLIFE)(?=.*HABITAT).*$"
NA,NA,"IN","OUTSTANDING STATE RESOURCE WATERS","^(?=.*OUTSTANDING)(?=.*STATE)(?=.*RESOURCE)(?=.*WATERS).*$"
"CA3","FRESHWATER HABITAT (COLD, WARM) (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)","CA","COLD FRESHWATER HABITAT","^(?=.*COLD)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA3","FRESHWATER HABITAT (COLD) (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)","CA","COLD FRESHWATER HABITAT","^(?=.*COLD)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA2","COLD OR WARM FRESHWATER HABITAT","CA","COLD FRESHWATER HABITAT","^(?=.*COLD)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA9","COLD FRESHWATER HABITAT AND WARM FRESHWATER HABITAT","CA","COLD FRESHWATER HABITAT","^(?=.*COLD)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA1","COLD FRESHWATER HABITAT (COLD)","CA","COLD FRESHWATER HABITAT","^(?=.*COLD)(?=.*FRESHWATER)(?=.*HABITAT).*$"
NA,NA,"AK","MARINE WATER / WATER SUPPLY / SEAFOOD PROCESSING","^(?=.*MARINE)(?=.*WATER)(?=.*/)(?=.*WATER)(?=.*SUPPLY)(?=.*/)(?=.*SEAFOOD)(?=.*PROCESSING).*$"
"AZ","AGRICULTURAL IRRIGATION (AGI)","AZ","AGRICULTURAL IRRIGATION","^(?=.*AGRICULTURAL)(?=.*IRRIGATION).*$"
NA,NA,"AZ","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"UT","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
NA,NA,"MO","WHOLE BODY CONTACT RECREATION","^(?=.*WHOLE)(?=.*BODY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"UT","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"VA","MIGRATORY FISH SPAWNING AND NURSERY","^(?=.*MIGRATORY)(?=.*FISH)(?=.*SPAWNING)(?=.*AND)(?=.*NURSERY).*$"
NA,NA,"NV","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"OK","AGRICULTURAL BENEFICIAL USE","^(?=.*AGRICULTURAL)(?=.*BENEFICIAL)(?=.*USE).*$"
NA,NA,"NM","PRIMARY HUMAN CONTACT/CEREMONIAL","^(?=.*PRIMARY)(?=.*HUMAN)(?=.*CONTACT/CEREMONIAL).*$"
"NV","MUNICIPAL OR DOMESTIC SUPPLY","NV","MUNICIPAL OR DOMESTIC SUPPLY","^(?=.*MUNICIPAL)(?=.*OR)(?=.*DOMESTIC)(?=.*SUPPLY).*$"
NA,NA,"NC","NUTRIENT SENSTIVE WATERS","^(?=.*NUTRIENT)(?=.*SENSTIVE)(?=.*WATERS).*$"
NA,NA,"WA","AQUATIC LIFE - NON-ANADROMOUS INTERIOR REDBAND TROUT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*NON-ANADROMOUS)(?=.*INTERIOR)(?=.*REDBAND)(?=.*TROUT).*$"
NA,NA,"AA","WARMWATER PERMANENT FISH LIFE PROPAGATION WATERS","^(?=.*WARMWATER)(?=.*PERMANENT)(?=.*FISH)(?=.*LIFE)(?=.*PROPAGATION)(?=.*WATERS).*$"
NA,NA,"KY","OUTSTANDING STATE RESOURCE WATER","^(?=.*OUTSTANDING)(?=.*STATE)(?=.*RESOURCE)(?=.*WATER).*$"
NA,NA,"OK","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"MN","CULTURAL: AESTHETIC WATERS","^(?=.*CULTURAL:)(?=.*AESTHETIC)(?=.*WATERS).*$"
"SC","AQUATIC LIFE","SC","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"CO","AQUATIC LIFE WARM WATER-CLASS 2","^(?=.*AQUATIC)(?=.*LIFE)(?=.*WARM)(?=.*WATER-CLASS)(?=.*2).*$"
NA,NA,"WV","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"CA","NAVIGATION","^(?=.*NAVIGATION).*$"
NA,NA,"SD","FISH/WLDLF PROP, REC, STOCK","^(?=.*FISH/WLDLF)(?=.*PROP,)(?=.*REC,)(?=.*STOCK).*$"
"MT","C-3 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS. THE QUALITY OF THESE WATERS IS NATURALLY MARGINAL FOR DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AGRICULTURE, AND INDUSTRIAL WATER SUPPLY).","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","D-1 (AGRICULTURE AND SECONDARY CONTACT RECREATION)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","D-2 (AGRICULTURE AND SECONDARY CONTACT RECREATION)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","E-1 (AGRICULTURE, SECONDARY CONTACT RECREATION AND WILDLIFE)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","E-2 (AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","E-3 (AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","E-4 (AQUATIC LIFE, AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","E-5 (AGRICULTURE, SECONDAY CONTACT RECREATION, SALINE TOLERANT AQUATIC LIFE, AND WILDLIFE)","MT","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"MT","C-1 (BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","C-2 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","A-CLOSED (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES AFTER SIMPLE DISINFECTION; SWIMMING, RECREATION, GROWTH, AND PROPAGATION OF FISHES AND ASSOCIATED AQUATIC LIFE, ALTHOUGH ACCESS RESTRICTION TO PROTECT PUBLIC HEALTH MAY LIMIT ACTUAL USE OF THESE WATERS FOR THESE USES)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","C-3 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS. THE QUALITY OF THESE WATERS IS NATURALLY MARGINAL FOR DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AGRICULTURE, AND INDUSTRIAL WATER SUPPLY).","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","B-1 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","B-2 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","B-3 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","E-4 (AQUATIC LIFE, AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","E-5 (AGRICULTURE, SECONDAY CONTACT RECREATION, SALINE TOLERANT AQUATIC LIFE, AND WILDLIFE)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","F-1 (SECONDARY CONTACT RECREATION, WILDLIFE AND AQUATIC LIFE NOT INCLUDING FISH)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"MT","I (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND  PROPAGATION OF  FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"PR","PRIMARY CONTACT (RECR)","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"MD","SEASONAL DEEP-CHANNEL REFUGE USE","^(?=.*SEASONAL)(?=.*DEEP-CHANNEL)(?=.*REFUGE)(?=.*USE).*$"
NA,NA,"NE","AL WARM WATER A","^(?=.*AL)(?=.*WARM)(?=.*WATER)(?=.*A).*$"
NA,NA,"MI","PARTIAL BODY CONTACT RECREATION","^(?=.*PARTIAL)(?=.*BODY)(?=.*CONTACT)(?=.*RECREATION).*$"
"MT","E-1 (AGRICULTURE, SECONDARY CONTACT RECREATION AND WILDLIFE)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
"MT","E-2 (AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
"MT","E-3 (AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
"MT","E-4 (AQUATIC LIFE, AGRICULTURE, SECONDARY CONTACT RECREATION, AND WILDLIFE)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
"MT","E-5 (AGRICULTURE, SECONDAY CONTACT RECREATION, SALINE TOLERANT AQUATIC LIFE, AND WILDLIFE)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
"MT","F-1 (SECONDARY CONTACT RECREATION, WILDLIFE AND AQUATIC LIFE NOT INCLUDING FISH)","MT","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"VA","DEEP-CHANNEL SEASONAL REFUGE","^(?=.*DEEP-CHANNEL)(?=.*SEASONAL)(?=.*REFUGE).*$"
NA,NA,"CA","RECREATIONAL","^(?=.*RECREATIONAL).*$"
NA,NA,"CA","INDUSTRIAL SERVICE SUPPLY","^(?=.*INDUSTRIAL)(?=.*SERVICE)(?=.*SUPPLY).*$"
NA,NA,"CC","WARMWATER PERMANENT FISH LIFE PROPAGATION WATERS","^(?=.*WARMWATER)(?=.*PERMANENT)(?=.*FISH)(?=.*LIFE)(?=.*PROPAGATION)(?=.*WATERS).*$"
NA,NA,"WV","WETLANDS","^(?=.*WETLANDS).*$"
"MO","SECONDARY CONTACT RECREATION","MO","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"OK","PUBLIC/PRIVATE WATER SUPPLY","^(?=.*PUBLIC/PRIVATE)(?=.*WATER)(?=.*SUPPLY).*$"
"LA","SECONDARY CONTACT RECREATION","LA","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"MT","COLD WATER AQUATIC LIFE FISHERY","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE)(?=.*FISHERY).*$"
NA,NA,"ME","SHELLFISH PROPAGATION","^(?=.*SHELLFISH)(?=.*PROPAGATION).*$"
NA,NA,"FL","INDUSTRY","^(?=.*INDUSTRY).*$"
NA,NA,"NE","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"CT","PRIMARY CONTACT (RECR)","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*(RECR)).*$"
"CA3","FRESHWATER HABITAT (COLD, WARM) (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)","CA","WARM FRESHWATER HABITAT","^(?=.*WARM)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA3","FRESHWATER HABITAT (WARM) (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)","CA","WARM FRESHWATER HABITAT","^(?=.*WARM)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA2","COLD OR WARM FRESHWATER HABITAT","CA","WARM FRESHWATER HABITAT","^(?=.*WARM)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA9","COLD FRESHWATER HABITAT AND WARM FRESHWATER HABITAT","CA","WARM FRESHWATER HABITAT","^(?=.*WARM)(?=.*FRESHWATER)(?=.*HABITAT).*$"
"CA1","WARM FRESHWATER HABITAT (WARM)","CA","WARM FRESHWATER HABITAT","^(?=.*WARM)(?=.*FRESHWATER)(?=.*HABITAT).*$"
NA,NA,"DE","INDUSTRIAL","^(?=.*INDUSTRIAL).*$"
"CA1","INLAND SALINE WATER HABITAT (SAL)","CA","INLAND SALINE WATER HABITAT","^(?=.*INLAND)(?=.*SALINE)(?=.*WATER)(?=.*HABITAT).*$"
"PA","COLD WATER FISHES; WARM WATER FISHES; TROUT STOCKING; MIGRATORY FISHES","PA","MIGRATORY FISHES","^(?=.*MIGRATORY)(?=.*FISHES).*$"
"ID","WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","ID","DOMESTIC WATER SUPPLY","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY).*$"
"ID","DOMESTIC WATER SUPPLY","ID","DOMESTIC WATER SUPPLY","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"IN","GREAT LAKES WARM WATER AQUATIC LIFE","^(?=.*GREAT)(?=.*LAKES)(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"IL","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"VA","AQUATIC LIFE","VA","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"CA","OVERALL USE SUPPORT","^(?=.*OVERALL)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"CO","TRIBAL CULTURAL USE","^(?=.*TRIBAL)(?=.*CULTURAL)(?=.*USE).*$"
